Start,End,Curve Direction,Curve Radius,Superelevation,Initial Transition Length,Final Transition Length,Curve Length
275.889599,278.366346218459,left,6000.0,90,0.0,0.0,2476.7472184590247
275.889599,278.366346218459,left,6004.6,90,0.0,0.0,2476.7472184590247
