Start,End,Gradient,Slope Length
271.82269772001104,272.67575,-20.0,853.0522799889582
271.82269772001104,272.67575,-20.0,853.0522799889582
272.67575,274.89575,9.0,2220.0000000000273
272.67575,274.89575,9.0,2220.0000000000273
274.89575,276.26575,1.37,1370.0000000000045
274.89575,276.26575,1.37,1370.0000000000045
276.26575,278.366346218459,7.7,2100.596218458975
276.26575,278.366346218459,7.7,2100.596218458975
